Observación	Modelo	Mejor Ajuste	Parámetro
Obser_9_7	L_P	28.1761477449	c
Obser_9_7	L_P	-1.6793378399	d
Obser_9_7	L_P	3.11779259495	e
Obser_9_7	L_P	750.047186242	Likelihood
Obser_9_8	L_G	-12.8779956272	a
Obser_9_8	L_G	1.29831560113	b
Obser_9_8	L_G	0.02385221243	c
Obser_9_8	L_G	0.00215849012943	d
Obser_9_8	L_G	2759.91832614	Likelihood
Obser_9_9	L_G	3.52763273326	a
Obser_9_9	L_G	-0.463673725741	b
Obser_9_9	L_G	0.0726914992379	c
Obser_9_9	L_G	2.61943588349	d
Obser_9_9	L_G	839.857138745	Likelihood
